"","Cast_ID","Month","Location","Instrument_Time","Long","Lat","Mean_Pressure","Mean_Salinity","Mean_Temperature","Mean_Conductivity","Mean_Chloro","Mean_Turbidity","Mean_Par","Mean_DO","SD_Pressure","SD_Salinity","SD_Temperature","SD_Conductivity","SD_Chloro","SD_Turbidity","SD_Par","SD_DO","Min_Pressure","Min_Salinity","Min_Temperature","Min_Conductivity","Min_Chloro","Min_Turbidity","Min_Par","Min_DO","Max_Pressure","Max_Salinity","Max_Temperature","Max_Conductivity","Max_Chloro","Max_Turbidity","Max_Par","Max_DO"
"1","20230221_BI_2","February","Buck Island",1899-12-31 11:46:00,-64.89856,18.27847,4.03985753424658,35.9830595890411,26.2683805479452,5.57557181506849,0.0116335616438356,0.325251917808219,291.780246575342,6.7060198630137,0.0400302000000002,0.0833221199999954,0.110379570000001,0.000560422799999984,0.0163086,0.00919212000000006,17.427963,0.0149001299999995,3.169,35.6091,26.0995,5.57433,-0.0117,0.2956,268.24,6.6573,4.166,36.1078,26.7667,5.577412,0.0473,0.3635,313.36,6.7549
"2","20230221_BI","February","Buck Island",1899-12-31 11:28:00,64.89735,18.27916,3.21115773508595,36.1031453993933,26.0949810920121,5.57335198988878,0.0176576339737108,0.324691203235592,160.520940343782,6.71963953488372,0.0548561999999999,0.00074130000000354,0.00681995999999991,0.000656791799999628,0.0163086,0.00800604000000002,12.261102,0.0123055800000003,2.403,36.0954,26.0839,5.571764,-0.0014,0.3078,129.81,6.6891,3.388,36.1058,26.1029,5.574342,0.0466,0.3637,195.03,6.7446
"3","20230221_BP_2","February","Black Point",1899-12-31 13:47:00,-64.98606,18.34435,4.17751567498401,35.9259792573624,26.0268694817658,5.54176612612036,0.037203134996801,0.378554958413308,831.17060140755,6.72552445582586,0.0207564000000003,0.081691259999994,0.115791060000004,0.00126391649999956,0.01616034,0.0176429399999999,304.82256,0.0195703200000005,3.254,35.4842,25.8457,5.534313,-1e-04,0.3446,173.43,4.8553,4.25,36.0696,26.6132,5.546213,0.0707,0.8583,1902.8,6.9153
"4","20230221_BP","February","Black Point",1899-12-31 13:41:00,-64.98606,18.34408,4.70096714579055,36.0553758213552,25.8639757700205,5.54199595482546,0.0426482032854209,0.36673295687885,130.254541067762,6.88713762833676,0.0311345999999999,0.000593039999998618,0.00711647999999922,0.000729439200000565,0.01616034,0.00963690000000001,7.23508799999999,0.0127503599999993,3.796,36.0523,25.8515,5.540545,0.0102,0.3382,98.405,6.8419,4.794,36.0587,25.884,5.544221,0.0803,0.4648,147.78,6.9135
"5","20230221_CC","February","Cow and Calf",1899-12-31 10:33:00,-64.84608,18.30502,3.99656962025316,36.080544047619,25.9836409863946,5.55829187932489,0.036722194092827,0.374342362869198,204.516990701606,6.88060808510638,0.1512252,0.000296519999999309,0.00355824000000224,0.000394371600001135,0.01527078,0.01868076,14.069874,0.0220907400000012,3.736,35.9748,25.9707,5.557055,-1e-04,0.338,147.3,6.8323,4.734,36.0829,26.1288,5.559482,0.0906,0.4774,234.13,6.9401
"6","20230221_Dock","February","Dock soak",1899-12-31 09:18:00,NA,NA,1.30889429928741,35.708956175772,25.6331213380839,5.4698429239905,0.142688875692795,0.484981068154643,266.215510688836,6.00912759303246,0.0311345999999999,0.157748639999996,0.17613288,0.00360790709999997,0.01527078,0.04269888,98.355684,0.0442556100000002,0.592,26.557,25.2449,4.216121,0.0988,0.4172,161.12,3.6994,1.59,36.0449,26.3787,5.490721,0.1963,0.6303,518.2,7.9756
"7","20230221_FCA","February","Flat Cay Acropora",1899-12-31 12:39:00,-64.98842,18.31682,2.03666427931961,36.0628770609319,25.9202435989257,5.54896099462366,0.00958003581020591,0.334213607878245,237.059310653536,6.86989274193548,0.0237216,0.000593040000009152,0.00607866000000163,0.000982222499999686,0.01319514,0.00904385999999999,12.201798,0.0304674300000001,1.173,36.0591,25.9075,5.547658,-0.0207,0.3141,195.7,4.4448,2.172,36.0796,25.9378,5.550563,0.0363,0.3576,375.7,7.1786
"8","20230221_FCT","February","Flat Cay",1899-12-31 12:57:00,-64.99107,18.31816,3.57587462082912,36.0597606673407,25.9444083923155,5.55120485844287,0.0591627906976744,0.336291304347826,238.954196157735,6.81662012133468,0.0311345999999999,0.000593039999998618,0.00296519999999836,0.000456640799999304,0.0163086,0.00919211999999998,12.542796,0.0111194999999991,2.682,36.0582,25.9396,5.550552,0.0226,0.3082,202.86,6.7908,3.679,36.0612,25.9489,5.551782,0.0919,0.3756,273.75,6.8526
"9","20230221_RR","February","Ruperts Rock",1899-12-31 12:03:00,-64.92591,18.32716,3.60852711223203,35.7998689393939,26.0570766414141,5.52769645649433,0.111141866330391,0.617460277427491,289.180844892812,6.83797462121212,0.0177912,0.145072409999996,0.193034519999995,0.000794673600000466,0.01616034,0.0275763600000001,10.363374,0.0246852900000004,2.715,35.3475,25.702,5.525856,0.0775,0.5256,268.53,6.7761,3.699,36.0673,26.6629,5.533764,0.1455,0.8254,309.04,6.9278
"10","20230221_SB","February","Saba",1899-12-31 13:20:00,-64.99653,18.30189,3.86206696035242,36.0604784140969,25.935568722467,5.55036356475771,0.0542573568281938,0.333682731277533,150.281718061674,6.85210766519824,0.0681996000000004,0.000296519999999309,0.0011860800000025,9.48864000000949e-05,0.0163086,0.00919212000000006,8.58425399999999,0.0130468800000012,3.046,36.0598,25.9326,5.55009,0.0233,0.3141,128.46,6.8197,4.029,36.0613,25.9376,5.550562,0.081,0.3886,175.05,6.8801
